,id,media_id,score,title_in_romaji,title_in_english,episodes,source,genres,mean_score,description,duration,year_released
0,40857579,16498,10,Shingeki no Kyojin,Attack on Titan,25,MANGA,"['Action', 'Drama', 'Fantasy', 'Mystery']",84,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans.<br><br>
Flash forward to the present and the city has not seen a titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a colossal titan that appears out of thin air. As the smaller titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single titan and take revenge for all of mankind.<br><br>
(Source: MangaHelpers) ",24,2013.0
1,40857589,99147,10,Shingeki no Kyojin 3,Attack on Titan Season 3,12,MANGA,"['Action', 'Drama', 'Fantasy', 'Mystery']",85,"Eren and his companions in the 104th are assigned to the newly-formed Levi Squad, whose assignment is to keep Eren and Historia safe given Eren's newly-discovered power and Historia's knowledge and pedigree. Levi and Erwin have good reason to be concerned, because the priest of the Church that Hanji had hidden away was found tortured to death, making it clear that the Military Police are involved with the cover-up. Things get more harrowing when the MPs make a move on Erwin and the Levi Squad narrowly avoids capture. Eren is also having problems with his Titan transformation, and a deadly killer has been hired to secure Eren and Historia, one Levi knows all too well from his youth.<br>
<br>
(Source: Anime News Network)",24,2018.0
2,40857595,97940,7,Black Clover,Black Clover,170,MANGA,"['Action', 'Adventure', 'Comedy', 'Fantasy']",78,"In a world where magic is everything, Asta and Yuno are both found abandoned at a church on the same day. While Yuno is gifted with exceptional magical powers, Asta is the only one in this world without any. At the age of fifteen, both receive grimoires, magic books that amplify their holder’s magic. Asta’s is a rare Grimoire of Anti-Magic that negates and repels his opponent’s spells. Being opposite but good rivals, Yuno and Asta are ready for the hardest of challenges to achieve their common dream: to be the Wizard King. Giving up is never an option!<br>
<br>
(Source: Crunchyroll)",24,2017.0
3,40857613,97888,9,Baki,BAKI,26,MANGA,"['Action', 'Sports']",72,"The protagonist, Baki Hanma, trains with an intense focus to become strong enough to surpass his father, Yujiro Hanma, the strongest fighter in the world. Five of the world's most violent and brutal death row inmates are gathering to face Baki. Their objective is to taste defeat -- their unmatched strength and skill have led them to grow bored of life itself, and they now seek out Baki in the hopes that he can overwhelm and utterly crush them. In this crisis, other underground martial art warriors gather to fight by Baki's side: Kaoru Hanayama, Gouki Shibukawa, Retsu Kaioh, and Doppo Orochi. An epic showdown between violent death row inmates and Baki and his friends begins!<br><br>

(Source: Netflix)",24,2018.0
4,40862040,101474,9,Overlord III,Overlord III,13,LIGHT_NOVEL,"['Action', 'Adventure', 'Fantasy']",77,"The third season of <i>Overlord</i>.<br>
<br>
With his foundations now set in this new world, the first steps of Ains Ooal Gown's master plan apparent begin to come to fruition. The value of Carne village and especially the political value of his alter ego Momon are reaffirmed; the “hidden” genius of his actions is continuously met with shock and awe by Demiurge, Albedo, the rest of his guardians, and even Ains himself at his “great wisdom.” His attempts to act in a way befitting the ruler of Nazarick, continuing to further cement his guardian’s loyalty, push him ever further down the path of not-so-intentional world domination. Without human conscience due to being undead, he is motivated only to continue searching for other players from Yggdrasil and to gain power to better protect the children and home of him and his forty former companions. Lord Ains Ooal Gown maintains his mantle of Overlord and leads the Great Tomb of Nazarick unto the world stage, directly into a vicious power struggle between two great empires.
<br><br>(Source: Anime News Network)",24,2018.0
5,40915330,9624,9,30-sai no Hoken Taiiku,A Thirty-Year Old's Health and Physical Education,12,OTHER,"['Comedy', 'Ecchi', 'Romance', 'Supernatural']",61,"Based on Mitsuba and Ichijinsha's 30-sai no Hoken Taiiku (Health and Physical Education for 30-Year-Olds) guidebook. The guide is aimed at men in their 30s who have not experienced romance or sex with women yet.<br><br>
Imagawa Hayao is a 30-year-old virgin bachelor. One day, a cupid descends from heaven with the express purpose of forcing him to graduate from virginity. Thus unfolds a pure love story between a 30-year-old bachelor and a 30-year-old bachelorette.<br><br>
(Source: AniDB)",12,2011.0
6,40915331,100526,9,3D Kanojo: Real Girl,Real Girl,12,MANGA,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",65,"Hikari Tsutsui has never been popular, his one real friend is an even worse otaku than he is, and the only girls he's known are the two-dimensional women from his manga and video games. Until, that is, he's sent to help clean the pool as punishment and is partnered with the school's resident ""bad girl"", the very real, very three-dimensional Iroha Igarashi. Brash, beautiful, and known for her promiscuous behavior, Iroha is loathed by other girls but loved by the guys. And yet, inexplicably, she not only seems to be interested in Hikari, but proposes that they enter into a relationship! Unable to resist, Hikari agrees, but there's one big catch - Iroha's moving away in six months, so no matter what happens between them, in half a year Hikari's guaranteed to lose his REAL GIRL!<br><br>

(Source: Sentai Filmworks)",23,2018.0
7,40915332,50,8,Aa! Megami-sama! (TV),Oh! My Goddess (TV),24,MANGA,"['Comedy', 'Romance', 'Supernatural']",69,"Keiichi Morisato is looking forward to university life. But in reality, he has no luck in anything, and he has trouble with clubs, love, etc. The truth is that he has an unlucky star above his head. One day, Keiichi is stuck watching the dorm while his sempai are away, and has a mountain of chores to do to boot. But Keiichi is a good-natured person, and is set about doing his duties. As he is about to finish his final chore, he makes a phone call to his sempai. But the words that came through the receiver are, 'Goddess Help Line.' Shortly afterwards, a beautiful goddess named Belldandy appears in front of him from the mirror of his room. ",24,2005.0
8,40915333,880,9,Aa! Megami-sama!: Sorezore no Tsubasa,Oh! My Goddess: Flights of Fancy,22,MANGA,"['Comedy', 'Romance', 'Supernatural']",72,"The song may say ""thank heaven for little girls"", but who is college student Keiichi Morisato supposed to thank when three honest to goodness Goddesses move in and take over his life? After all, according to most mythologies, relationships between mortals and immortals usually leads to mortifying complications, so we're already talking about an extremely mixed blessing!
 <br><br>
(Source: Crunchyroll)",24,2006.0
9,40915334,2198,8,Aa! Megami-sama!: Sorezore no Tsubasa Specials,Oh! My Goddess: Flights of Fancy Specials,2,MANGA,"['Comedy', 'Romance', 'Supernatural']",71,"When Keiichi found his grandpa's diary and saw a treasure map inside, Skuld and Urd started to feel a great urge to search it. With the company of his friends, Keiichi arrives to Honda Inn, the place indicated on the map. Once the party is inside, they meet Honda Chieko, who seems to share a certain promise with Keiichi. Apart from all that confusion, it's time for Keiichi to have enough courage to say the words 'I love you' to Belldandy.",24,2007.0
